Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop
World,"1,853,357",1100,"114,253",59,"423,692","1,315,412","50,859",238,14.7,,
USA,"560,433",133,"22,115",10,"32,634","505,684","11,766","1,693",67,"2,833,112","8,559"
Spain,"166,831",,"17,209",,"62,391","87,231","7,371","3,568",368,"600,000","12,833"
Italy,"156,363",,"19,899",,"34,211","102,253","3,343","2,586",329,"1,010,193","16,708"
France,"132,591",,"14,393",,"27,186","91,012","6,845","2,031",221,"333,807","5,114"
Germany,"127,854",,"3,022",,"60,300","64,532","4,895","1,526",36,"1,317,887","15,730"
UK,"84,279",,"10,612",,N/A,"73,323","1,559","1,241",156,"352,974","5,200"
China,"82,160",108,"3,341",2,"77,663","1,156",121,57,2,,
Iran,"71,686",,"4,474",,"43,894","23,318","3,930",853,53,"263,388","3,136"
Turkey,"56,956",,"1,198",,"3,446","52,312","1,665",675,14,"376,100","4,459"
Belgium,"29,647",,"3,600",,"6,463","19,584","1,223","2,558",311,"102,151","8,814"
Netherlands,"25,587",,"2,737",,250,"22,600","1,384","1,493",160,"101,534","5,926"
Switzerland,"25,415",,"1,106",,"12,700","11,609",386,"2,937",128,"193,800","22,393"
Canada,"24,383",,717,,"7,172","16,494",557,646,19,"422,200","11,186"
Brazil,"22,318",126,"1,230",7,173,"20,915",296,105,6,"62,985",296
Portugal,"16,585",,504,,277,"15,804",228,"1,627",49,"163,616","16,046"
Russia,"15,770",,130,,"1,291","14,349",8,108,0.9,"1,200,000","8,223"
Austria,"13,945",,350,,"6,987","6,608",243,"1,548",39,"144,877","16,086"
Israel,"11,145",,103,,"1,627","9,415",183,"1,288",12,"117,339","13,557"
S. Korea,"10,537",25,217,3,"7,447","2,873",55,206,4,"514,621","10,038"
Sweden,"10,483",,899,,381,"9,203",839,"1,038",89,"54,700","5,416"
Ireland,"9,655",,334,,25,"9,296",194,"1,955",68,"53,000","10,734"
India,"9,205",,331,,"1,080","7,794",,7,0.2,"189,111",137
Peru,"7,519",,193,,"1,798","5,528",134,228,6,"76,506","2,320"
Ecuador,"7,466",,333,,501,"6,632",184,423,19,"23,635","1,340"
Japan,"7,370",,123,,784,"6,463",129,58,1,"77,381",612
Chile,"7,213",,80,,"2,059","5,074",387,377,4,"82,271","4,304"
Poland,"6,674",,232,,439,"6,003",160,176,6,"138,007","3,646"
Norway,"6,525",,128,,32,"6,365",59,"1,204",24,"126,486","23,332"
