Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Case Fatality Ratio,Population,Density P/Km2,Land Area Km2,Median Age,Urban Population %
World,2082272.0,660.0,134589.0,43.0,509182.0,1438157.0,51135.0,269.0,17.0,17102031.0,2209.0,6.0,7740413332.0,512.0,128649742.0,31.0,60.0
USA,644089.0,,28529.0,,48701.0,566859.0,13487.0,1946.0,86.0,3258879.0,9845.0,4.43,331002651.0,36.0,9147420.0,38.0,83.0
Spain,180659.0,,18812.0,,70853.0,90994.0,7371.0,3864.0,402.0,650755.0,13918.0,10.41,46754778.0,94.0,498800.0,45.0,80.0
Italy,165155.0,,21645.0,,38092.0,105418.0,3079.0,2732.0,358.0,1117404.0,18481.0,13.11,60461826.0,206.0,294140.0,47.0,69.0
France,147863.0,,17167.0,,30955.0,99741.0,6457.0,2265.0,263.0,333807.0,5114.0,11.61,65273511.0,119.0,547557.0,42.0,82.0
Germany,134753.0,,3804.0,,72600.0,58349.0,4288.0,1608.0,45.0,1728357.0,20629.0,2.82,83783942.0,240.0,348560.0,46.0,76.0
UK,98476.0,,12868.0,,,85264.0,1559.0,1451.0,190.0,398916.0,5876.0,13.07,67886011.0,281.0,241930.0,40.0,83.0
China,82341.0,46.0,3342.0,,77892.0,1107.0,95.0,57.0,2.0,,,4.06,1439323776.0,153.0,9388211.0,38.0,61.0
Iran,76389.0,,4777.0,,49933.0,21679.0,3643.0,909.0,57.0,299204.0,3562.0,6.25,83992949.0,52.0,1628550.0,32.0,76.0
Turkey,69392.0,,1518.0,,5674.0,62200.0,1820.0,823.0,18.0,477716.0,5664.0,2.19,84339067.0,110.0,769630.0,32.0,76.0
Belgium,33573.0,,4440.0,,7107.0,22026.0,1204.0,2897.0,383.0,128132.0,11056.0,13.22,11589623.0,383.0,30280.0,42.0,98.0
Brazil,28746.0,136.0,1757.0,,14026.0,12963.0,296.0,135.0,8.0,62985.0,296.0,6.11,212559417.0,25.0,8358140.0,33.0,88.0
Canada,28379.0,,1010.0,,8979.0,18390.0,557.0,752.0,27.0,467736.0,12393.0,3.56,37742154.0,4.0,9093510.0,41.0,81.0
Netherlands,28153.0,,3134.0,,250.0,24769.0,1279.0,1643.0,183.0,140845.0,8220.0,11.13,17134872.0,508.0,33720.0,43.0,92.0
Switzerland,26336.0,,1239.0,,15400.0,9697.0,386.0,3043.0,143.0,199000.0,22993.0,4.7,8654622.0,219.0,39516.0,43.0,74.0
Russia,24490.0,,198.0,,1986.0,22306.0,8.0,168.0,1.0,1517992.0,10402.0,0.81,145934462.0,9.0,16376870.0,40.0,74.0
Portugal,18091.0,,599.0,,383.0,17109.0,208.0,1774.0,59.0,208314.0,20430.0,3.31,10196709.0,111.0,91590.0,46.0,66.0
Austria,14350.0,,393.0,,8098.0,5859.0,232.0,1593.0,44.0,156801.0,17410.0,2.74,9006398.0,109.0,82409.0,43.0,57.0
Ireland,12547.0,,444.0,,77.0,12026.0,158.0,2541.0,90.0,90646.0,18358.0,3.54,4937786.0,72.0,68890.0,38.0,63.0
Israel,12501.0,,130.0,,2563.0,9808.0,180.0,1444.0,15.0,117339.0,13557.0,1.04,8655535.0,400.0,21640.0,30.0,93.0
India,12370.0,,422.0,,1508.0,10440.0,,9.0,0.3,274599.0,199.0,3.41,1380004385.0,464.0,2973190.0,28.0,35.0
Sweden,11927.0,,1203.0,,381.0,10343.0,954.0,1181.0,119.0,74600.0,7387.0,10.09,10099265.0,25.0,410340.0,41.0,88.0
Peru,11475.0,,254.0,,3108.0,8113.0,146.0,348.0,8.0,109385.0,3318.0,2.21,32971854.0,26.0,1280000.0,31.0,79.0
South Korea,10591.0,,225.0,,7616.0,2750.0,55.0,207.0,4.0,534552.0,10426.0,2.12,51269185.0,527.0,97230.0,44.0,82.0
Japan,8626.0,,178.0,,901.0,7547.0,168.0,68.0,1.0,94236.0,745.0,2.06,126476461.0,347.0,364555.0,48.0,92.0
Chile,8273.0,,94.0,,2937.0,5242.0,389.0,433.0,5.0,91873.0,4806.0,1.14,19116201.0,26.0,743532.0,35.0,85.0
Ecuador,7858.0,,388.0,,780.0,6690.0,135.0,445.0,22.0,26093.0,1479.0,4.94,17643054.0,71.0,248360.0,28.0,63.0
Poland,7582.0,,286.0,,668.0,6628.0,160.0,200.0,8.0,156493.0,4135.0,3.77,37846611.0,124.0,306230.0,42.0,60.0
Romania,7216.0,,372.0,,1217.0,5627.0,245.0,375.0,19.0,74827.0,3890.0,5.16,19237691.0,84.0,230170.0,43.0,55.0
Norway,6797.0,,150.0,,32.0,6615.0,64.0,1254.0,28.0,130216.0,24020.0,2.21,5421241.0,15.0,365268.0,40.0,83.0
Denmark,6681.0,,309.0,,2748.0,3624.0,89.0,1153.0,53.0,77712.0,13417.0,4.63,5792202.0,137.0,42430.0,42.0,88.0
