Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Case Fatality Ratio,Population,Density P/Km2,Land Area Km2,Median Age,Urban Population %,CODE
World,2330227.0,837.0,160743.0,115.0,596195.0,1572945.0,55258.0,301.0,20.0,19902118.0,2571.0,6.0,7740413332.0,512.0,128649742.0,31.0,60.0,YEM
USA,738830.0,38.0,39014.0,,68285.0,631531.0,13551.0,2232.0,118.0,3722209.0,11245.0,5.28,331002651.0,36.0,9147420.0,38.0,83.0,No data found for country
Spain,194416.0,,20639.0,,74797.0,98980.0,7371.0,4158.0,441.0,930230.0,19896.0,10.62,46754778.0,94.0,498800.0,45.0,80.0,USA
Italy,175925.0,,23227.0,,44927.0,107771.0,2733.0,2910.0,384.0,1305833.0,21598.0,13.2,60461826.0,206.0,294140.0,47.0,69.0,ESP
France,151793.0,,19323.0,,35983.0,96487.0,5833.0,2325.0,296.0,463662.0,7103.0,12.73,65273511.0,119.0,547557.0,42.0,82.0,ITA
Germany,143724.0,,4538.0,,85400.0,53786.0,2922.0,1715.0,54.0,1728357.0,20629.0,3.16,83783942.0,240.0,348560.0,46.0,76.0,FRA
UK,114217.0,,15464.0,,,98409.0,1559.0,1682.0,228.0,460437.0,6783.0,13.54,67886011.0,281.0,241930.0,40.0,83.0,DEU
China,82735.0,16.0,4632.0,,77062.0,1041.0,85.0,57.0,3.0,,,5.6,1439323776.0,153.0,9388211.0,38.0,61.0,No data found for country
Turkey,82329.0,,1890.0,,10453.0,69986.0,1894.0,976.0,22.0,598933.0,7101.0,2.3,84339067.0,110.0,769630.0,32.0,76.0,UKR
Iran,80868.0,,5031.0,,55987.0,19850.0,3513.0,963.0,60.0,330137.0,3931.0,6.22,83992949.0,52.0,1628550.0,32.0,76.0,CHN
Belgium,37183.0,,5453.0,,8348.0,23382.0,1119.0,3208.0,471.0,145997.0,12597.0,14.67,11589623.0,383.0,30280.0,42.0,98.0,TUR
Russia,36793.0,,313.0,,3057.0,33423.0,8.0,252.0,2.0,1831892.0,12553.0,0.85,145934462.0,9.0,16376870.0,40.0,74.0,IRN
Brazil,36760.0,38.0,2368.0,7.0,14026.0,20366.0,6634.0,173.0,11.0,62985.0,296.0,6.44,212559417.0,25.0,8358140.0,33.0,88.0,BEL
Canada,33383.0,,1470.0,,11207.0,20706.0,557.0,885.0,39.0,516216.0,13677.0,4.4,37742154.0,4.0,9093510.0,41.0,81.0,RUS
Netherlands,31589.0,,3601.0,,250.0,27738.0,1279.0,1844.0,210.0,154911.0,9041.0,11.4,17134872.0,508.0,33720.0,43.0,92.0,BRA
Switzerland,27404.0,,1368.0,,17100.0,8936.0,386.0,3166.0,158.0,216400.0,25004.0,4.99,8654622.0,219.0,39516.0,43.0,74.0,CAN
Portugal,19685.0,,687.0,,610.0,18388.0,228.0,1931.0,67.0,235878.0,23133.0,3.49,10196709.0,111.0,91590.0,46.0,66.0,NLD
India,15723.0,1.0,521.0,,2463.0,12739.0,,11.0,0.4,372123.0,270.0,3.31,1380004385.0,464.0,2973190.0,28.0,35.0,CHE
Ireland,14758.0,,571.0,,77.0,14110.0,294.0,2989.0,116.0,90646.0,18358.0,3.87,4937786.0,72.0,68890.0,38.0,63.0,PRT
Austria,14671.0,,443.0,,10214.0,4014.0,208.0,1629.0,49.0,175932.0,19534.0,3.02,9006398.0,109.0,82409.0,43.0,57.0,IND
Peru,14420.0,,348.0,,6684.0,7388.0,117.0,437.0,11.0,135895.0,4122.0,2.41,32971854.0,26.0,1280000.0,31.0,79.0,IRL
Sweden,13822.0,,1511.0,,550.0,11761.0,1054.0,1369.0,150.0,74600.0,7387.0,10.93,10099265.0,25.0,410340.0,41.0,88.0,AUT
Israel,13265.0,,164.0,,3456.0,9645.0,164.0,1533.0,19.0,187250.0,21634.0,1.24,8655535.0,400.0,21640.0,30.0,93.0,PER
South Korea,10661.0,8.0,234.0,2.0,8042.0,2385.0,55.0,208.0,5.0,559109.0,10905.0,2.19,51269185.0,527.0,97230.0,44.0,82.0,SWE
Japan,10296.0,,222.0,,1069.0,9005.0,221.0,81.0,2.0,111325.0,880.0,2.16,126476461.0,347.0,364555.0,48.0,92.0,ISR
Chile,9730.0,,126.0,,4035.0,5569.0,360.0,509.0,7.0,108891.0,5696.0,1.29,19116201.0,26.0,743532.0,35.0,85.0,No data found for country
Ecuador,9022.0,,456.0,,1008.0,7558.0,168.0,511.0,26.0,30922.0,1753.0,5.05,17643054.0,71.0,248360.0,28.0,63.0,JPN
Poland,8742.0,,347.0,,981.0,7414.0,160.0,231.0,9.0,192960.0,5098.0,3.97,37846611.0,124.0,306230.0,42.0,60.0,CHL
Romania,8418.0,,421.0,,1730.0,6267.0,248.0,438.0,22.0,90991.0,4730.0,5.0,19237691.0,84.0,230170.0,43.0,55.0,ECU
Saudi Arabia,8274.0,,92.0,,1329.0,6853.0,78.0,238.0,3.0,150000.0,4309.0,1.11,34813871.0,16.0,2149690.0,32.0,84.0,POL
Pakistan,7638.0,,143.0,,1832.0,5663.0,46.0,35.0,0.6,92548.0,419.0,1.87,220892340.0,287.0,770880.0,23.0,35.0,ROU
Mexico,7497.0,622.0,650.0,104.0,2627.0,4220.0,207.0,58.0,5.0,49167.0,381.0,8.67,128932753.0,66.0,1943950.0,29.0,84.0,SAU
Denmark,7242.0,,346.0,,3847.0,3049.0,76.0,1250.0,60.0,91437.0,15786.0,4.78,5792202.0,137.0,42430.0,42.0,88.0,PAK
Norway,7069.0,33.0,164.0,,32.0,6873.0,63.0,1304.0,30.0,139668.0,25763.0,2.32,5421241.0,15.0,365268.0,40.0,83.0,MEX
Czechia,6606.0,,181.0,,1227.0,5198.0,86.0,617.0,17.0,162533.0,15177.0,2.74,10708981.0,139.0,77240.0,43.0,74.0,DNK
Australia,6586.0,,70.0,,4167.0,2349.0,55.0,258.0,3.0,406510.0,15942.0,1.06,25499884.0,3.0,7682300.0,38.0,86.0,NOR
UAE,6302.0,,37.0,,1188.0,5077.0,1.0,637.0,4.0,767000.0,77550.0,0.59,9890402.0,118.0,83600.0,33.0,86.0,CZE
Indonesia,6248.0,,535.0,,631.0,5082.0,,23.0,2.0,39422.0,144.0,8.56,273523615.0,151.0,1811570.0,30.0,56.0,AUS
Philippines,6087.0,,397.0,,516.0,5174.0,1.0,56.0,4.0,56048.0,511.0,6.52,109581078.0,368.0,298170.0,26.0,47.0,No data found for country
Serbia,5994.0,,117.0,,637.0,5240.0,126.0,686.0,13.0,36028.0,4123.0,1.95,8737371.0,100.0,87460.0,42.0,56.0,IDN
Singapore,5992.0,,11.0,,740.0,5241.0,23.0,1024.0,2.0,94796.0,16203.0,0.18,5850342.0,8358.0,700.0,42.0,,PHL
